iter	Passed	Remaining
0	8	1609
1	14	1456
2	21	1392
3	28	1377
4	34	1333
5	41	1351
6	47	1315
7	53	1287
8	59	1273
9	65	1247
10	73	1265
11	79	1252
12	85	1236
13	92	1224
14	97	1205
15	104	1206
16	110	1191
17	116	1175
18	122	1170
19	128	1157
20	135	1158
21	142	1152
22	148	1141
23	155	1143
24	162	1136
25	169	1135
26	176	1128
27	182	1121
28	188	1113
29	195	1107
30	203	1106
31	209	1100
32	217	1101
33	223	1092
34	230	1086
35	236	1078
36	243	1071
37	250	1068
38	256	1059
39	263	1055
40	270	1050
41	277	1044
42	285	1041
43	291	1033
44	298	1029
45	304	1020
46	313	1019
47	320	1013
48	327	1008
49	333	1000
50	339	991
51	346	986
52	351	976
53	359	971
54	365	962
55	371	954
56	377	947
57	383	938
58	389	930
59	395	922
60	400	913
61	407	907
62	413	899
63	419	891
64	426	885
65	432	877
66	438	870
67	444	862
68	450	854
69	457	849
70	463	842
71	470	836
72	476	829
73	483	822
74	489	815
75	495	808
76	501	801
77	507	794
78	513	785
79	519	779
80	526	772
81	532	766
82	539	760
83	545	753
84	552	747
85	558	740
86	564	732
87	570	726
88	576	718
89	583	712
90	589	706
91	596	699
92	602	693
93	608	686
94	615	679
95	621	672
96	626	665
97	633	659
98	639	652
99	646	646
100	652	639
101	657	631
102	664	625
103	670	618
104	675	611
105	682	605
106	688	598
107	695	592
108	701	585
109	708	579
110	714	573
111	720	566
112	727	559
113	732	552
114	738	545
115	744	539
116	750	532
117	756	525
118	762	519
119	768	512
120	775	506
121	782	500
122	789	494
123	795	487
124	802	481
125	808	474
126	814	467
127	820	461
128	826	454
129	832	448
130	839	442
131	845	435
132	851	429
133	857	422
134	863	415
135	870	409
136	876	402
137	882	396
138	888	390
139	894	383
140	901	377
141	907	370
142	913	364
143	919	357
144	925	350
145	930	344
146	937	337
147	943	331
148	950	325
149	956	318
150	962	312
151	968	305
152	974	299
153	981	293
154	987	286
155	992	280
156	999	273
157	1006	267
158	1012	260
159	1018	254
160	1024	248
161	1030	241
162	1036	235
163	1042	228
164	1048	222
165	1053	215
166	1059	209
167	1065	202
168	1071	196
169	1078	190
170	1084	183
171	1089	177
172	1097	171
173	1103	164
174	1109	158
175	1115	152
176	1122	145
177	1129	139
178	1135	133
179	1141	126
180	1147	120
181	1153	114
182	1160	107
183	1166	101
184	1172	95
185	1178	88
186	1184	82
187	1192	76
188	1197	69
189	1203	63
190	1210	57
191	1216	50
192	1223	44
193	1228	38
194	1234	31
195	1240	25
196	1246	18
197	1253	12
198	1258	6
199	1264	0
